nr_pedido,dt_momento,codigo_filial,nome_filial,codigo_cliente,nome_cliente,uf,codigo_produto,descricao_produto,marca,preco_unitario,quantidade,avaliacao
2819,2019-10-09,3,Filial 3,14,Cliente 14,AL,3,Produto 3,Marca 2,49.45,5,2
2820,2019-10-09,2,Filial 2,20,Cliente 20,PB,4,Produto 4,Marca 3,44.85,5,4
2821,2019-10-10,8,Filial 8,95,Cliente 95,GO,12,Produto 12,Marca 2,68.11,7,4
2822,2019-10-10,1,Filial 1,71,Cliente 71,RS,20,Produto 20,Marca 2,64.09,4,2
2823,2019-10-10,3,Filial 3,63,Cliente 63,RO,9,Produto 9,Marca 2,41.93,7,5
2824,2019-10-10,2,Filial 2,58,Cliente 58,PA,4,Produto 4,Marca 3,44.85,3,5
2825,2019-10-10,4,Filial 4,41,Cliente 41,PA,10,Produto 10,Marca 1,33.55,7,2
2826,2019-10-10,9,Filial 9,13,Cliente 13,GO,17,Produto 17,Marca 2,23.67,5,5
2827,2019-10-10,6,Filial 6,82,Cliente 82,SP,14,Produto 14,Marca 3,2.87,2,5
2828,2019-10-10,10,Filial 10,62,Cliente 62,RJ,4,Produto 4,Marca 3,44.85,6,4
2829,2019-10-10,7,Filial 7,58,Cliente 58,PA,3,Produto 3,Marca 2,49.45,5,5
2830,2019-10-10,5,Filial 5,29,Cliente 29,MT,18,Produto 18,Marca 2,98.95,5,4
2831,2019-10-11,5,Filial 5,22,Cliente 22,CE,7,Produto 7,Marca 1,21.32,3,4
2832,2019-10-11,6,Filial 6,46,Cliente 46,RR,8,Produto 8,Marca 2,44.87,3,5
2833,2019-10-11,3,Filial 3,64,Cliente 64,PA,15,Produto 15,Marca 1,14.57,4,4
2834,2019-10-11,9,Filial 9,100,Cliente 100,MS,16,Produto 16,Marca 2,12.40,6,3
2835,2019-10-11,2,Filial 2,55,Cliente 55,ES,3,Produto 3,Marca 2,49.45,6,2
2836,2019-10-11,10,Filial 10,5,Cliente 5,AP,2,Produto 2,Marca 3,99.33,5,4
2837,2019-10-11,1,Filial 1,65,Cliente 65,MA,11,Produto 11,Marca 1,17.47,5,5
2838,2019-10-11,4,Filial 4,32,Cliente 32,SE,13,Produto 13,Marca 3,18.60,3,2
2839,2019-10-11,7,Filial 7,37,Cliente 37,RS,6,Produto 6,Marca 1,87.73,7,5
2840,2019-10-11,8,Filial 8,95,Cliente 95,GO,19,Produto 19,Marca 1,16.28,6,2
2841,2019-10-12,2,Filial 2,88,Cliente 88,PA,11,Produto 11,Marca 1,17.47,5,5
2842,2019-10-12,3,Filial 3,1,Cliente 1,MA,17,Produto 17,Marca 2,23.67,7,5
2843,2019-10-12,4,Filial 4,95,Cliente 95,GO,5,Produto 5,Marca 1,86.60,7,4
2844,2019-10-12,5,Filial 5,64,Cliente 64,PA,3,Produto 3,Marca 2,49.45,2,2
2845,2019-10-12,6,Filial 6,78,Cliente 78,PR,13,Produto 13,Marca 3,18.60,6,4
2846,2019-10-12,7,Filial 7,10,Cliente 10,SP,3,Produto 3,Marca 2,49.45,7,4
2847,2019-10-12,9,Filial 9,55,Cliente 55,ES,9,Produto 9,Marca 2,41.93,2,2
2848,2019-10-12,1,Filial 1,94,Cliente 94,PE,19,Produto 19,Marca 1,16.28,6,5
2849,2019-10-12,10,Filial 10,33,Cliente 33,GO,15,Produto 15,Marca 1,14.57,2,4
2850,2019-10-12,8,Filial 8,87,Cliente 87,RJ,13,Produto 13,Marca 3,18.60,4,3
2851,2019-10-13,5,Filial 5,40,Cliente 40,MT,8,Produto 8,Marca 2,44.87,6,5
2852,2019-10-13,10,Filial 10,29,Cliente 29,MT,17,Produto 17,Marca 2,23.67,6,5
2853,2019-10-13,1,Filial 1,50,Cliente 50,GO,14,Produto 14,Marca 3,2.87,4,3
2854,2019-10-13,6,Filial 6,82,Cliente 82,SP,9,Produto 9,Marca 2,41.93,6,5
2855,2019-10-13,7,Filial 7,46,Cliente 46,RR,5,Produto 5,Marca 1,86.60,4,2
2856,2019-10-13,8,Filial 8,25,Cliente 25,PA,2,Produto 2,Marca 3,99.33,7,4
2857,2019-10-13,9,Filial 9,61,Cliente 61,SE,12,Produto 12,Marca 2,68.11,2,5
2858,2019-10-13,2,Filial 2,38,Cliente 38,RJ,13,Produto 13,Marca 3,18.60,3,2
2859,2019-10-13,4,Filial 4,87,Cliente 87,RJ,4,Produto 4,Marca 3,44.85,2,5
2860,2019-10-13,3,Filial 3,22,Cliente 22,CE,8,Produto 8,Marca 2,44.87,4,4
2861,2019-10-14,6,Filial 6,23,Cliente 23,CE,16,Produto 16,Marca 2,12.40,4,2
2862,2019-10-14,7,Filial 7,82,Cliente 82,SP,20,Produto 20,Marca 2,64.09,3,5
2863,2019-10-14,3,Filial 3,61,Cliente 61,SE,14,Produto 14,Marca 3,2.87,2,5
2864,2019-10-14,10,Filial 10,34,Cliente 34,RS,14,Produto 14,Marca 3,2.87,7,4
2865,2019-10-14,9,Filial 9,35,Cliente 35,PB,3,Produto 3,Marca 2,49.45,7,4
2866,2019-10-14,2,Filial 2,7,Cliente 7,PA,6,Produto 6,Marca 1,87.73,6,4
2867,2019-10-14,5,Filial 5,87,Cliente 87,RJ,19,Produto 19,Marca 1,16.28,4,2
2868,2019-10-14,8,Filial 8,87,Cliente 87,RJ,20,Produto 20,Marca 2,64.09,3,5
2869,2019-10-14,4,Filial 4,66,Cliente 66,DF,15,Produto 15,Marca 1,14.57,7,2
2870,2019-10-14,1,Filial 1,43,Cliente 43,MS,5,Produto 5,Marca 1,86.60,3,5
2871,2019-10-15,7,Filial 7,27,Cliente 27,ES,9,Produto 9,Marca 2,41.93,6,3
2872,2019-10-15,10,Filial 10,35,Cliente 35,PB,13,Produto 13,Marca 3,18.60,6,5
2873,2019-10-15,3,Filial 3,89,Cliente 89,RR,12,Produto 12,Marca 2,68.11,2,3
2874,2019-10-15,1,Filial 1,73,Cliente 73,PE,9,Produto 9,Marca 2,41.93,5,4
2875,2019-10-15,8,Filial 8,33,Cliente 33,GO,11,Produto 11,Marca 1,17.47,2,5
2876,2019-10-15,5,Filial 5,93,Cliente 93,RJ,11,Produto 11,Marca 1,17.47,6,2
2877,2019-10-15,4,Filial 4,42,Cliente 42,SE,3,Produto 3,Marca 2,49.45,6,4
2878,2019-10-15,2,Filial 2,76,Cliente 76,AC,15,Produto 15,Marca 1,14.57,5,3
2879,2019-10-15,9,Filial 9,11,Cliente 11,SC,5,Produto 5,Marca 1,86.60,6,4
2880,2019-10-15,6,Filial 6,15,Cliente 15,AC,16,Produto 16,Marca 2,12.40,6,3
2881,2019-10-16,8,Filial 8,82,Cliente 82,SP,18,Produto 18,Marca 2,98.95,6,5
2882,2019-10-16,10,Filial 10,84,Cliente 84,BA,11,Produto 11,Marca 1,17.47,2,3
2883,2019-10-16,6,Filial 6,20,Cliente 20,PB,2,Produto 2,Marca 3,99.33,5,4
2884,2019-10-16,7,Filial 7,69,Cliente 69,SE,10,Produto 10,Marca 1,33.55,4,2
2885,2019-10-16,3,Filial 3,54,Cliente 54,RO,7,Produto 7,Marca 1,21.32,2,2
2886,2019-10-16,4,Filial 4,44,Cliente 44,PI,13,Produto 13,Marca 3,18.60,3,2
2887,2019-10-16,5,Filial 5,38,Cliente 38,RJ,5,Produto 5,Marca 1,86.60,3,5
2888,2019-10-16,2,Filial 2,6,Cliente 6,RN,13,Produto 13,Marca 3,18.60,3,5
2889,2019-10-16,9,Filial 9,79,Cliente 79,RN,14,Produto 14,Marca 3,2.87,5,5
2890,2019-10-16,1,Filial 1,69,Cliente 69,SE,14,Produto 14,Marca 3,2.87,5,2
2891,2019-10-17,7,Filial 7,95,Cliente 95,GO,11,Produto 11,Marca 1,17.47,7,2
2892,2019-10-17,2,Filial 2,53,Cliente 53,RR,13,Produto 13,Marca 3,18.60,2,5
2893,2019-10-17,4,Filial 4,97,Cliente 97,MG,12,Produto 12,Marca 2,68.11,4,2
2894,2019-10-17,8,Filial 8,14,Cliente 14,AL,20,Produto 20,Marca 2,64.09,5,5
2895,2019-10-17,9,Filial 9,89,Cliente 89,RR,19,Produto 19,Marca 1,16.28,2,5
2896,2019-10-17,5,Filial 5,94,Cliente 94,PE,10,Produto 10,Marca 1,33.55,6,3
2897,2019-10-17,3,Filial 3,10,Cliente 10,SP,13,Produto 13,Marca 3,18.60,7,5
2898,2019-10-17,6,Filial 6,92,Cliente 92,AL,7,Produto 7,Marca 1,21.32,2,5
2899,2019-10-17,10,Filial 10,30,Cliente 30,BA,5,Produto 5,Marca 1,86.60,3,2
2900,2019-10-17,1,Filial 1,67,Cliente 67,ES,13,Produto 13,Marca 3,18.60,6,5
2901,2019-10-18,6,Filial 6,12,Cliente 12,BA,19,Produto 19,Marca 1,16.28,6,4
2902,2019-10-18,4,Filial 4,87,Cliente 87,RJ,13,Produto 13,Marca 3,18.60,3,3
2903,2019-10-18,1,Filial 1,4,Cliente 4,CE,18,Produto 18,Marca 2,98.95,6,5
2904,2019-10-18,5,Filial 5,83,Cliente 83,MT,8,Produto 8,Marca 2,44.87,2,5
2905,2019-10-18,9,Filial 9,31,Cliente 31,CE,12,Produto 12,Marca 2,68.11,6,3
2906,2019-10-18,2,Filial 2,5,Cliente 5,AP,16,Produto 16,Marca 2,12.40,7,4
2907,2019-10-18,8,Filial 8,49,Cliente 49,RS,11,Produto 11,Marca 1,17.47,6,3
2908,2019-10-18,3,Filial 3,11,Cliente 11,SC,3,Produto 3,Marca 2,49.45,6,2
2909,2019-10-18,10,Filial 10,81,Cliente 81,RO,16,Produto 16,Marca 2,12.40,6,3
2910,2019-10-18,7,Filial 7,98,Cliente 98,TO,13,Produto 13,Marca 3,18.60,6,2
2911,2019-10-19,2,Filial 2,74,Cliente 74,AM,8,Produto 8,Marca 2,44.87,7,5
2912,2019-10-19,9,Filial 9,88,Cliente 88,PA,5,Produto 5,Marca 1,86.60,6,4
2913,2019-10-19,7,Filial 7,67,Cliente 67,ES,13,Produto 13,Marca 3,18.60,2,2
2914,2019-10-19,10,Filial 10,60,Cliente 60,SE,14,Produto 14,Marca 3,2.87,2,2
2915,2019-10-19,5,Filial 5,47,Cliente 47,RN,10,Produto 10,Marca 1,33.55,2,3
2916,2019-10-19,8,Filial 8,57,Cliente 57,SP,19,Produto 19,Marca 1,16.28,3,5
2917,2019-10-19,6,Filial 6,79,Cliente 79,RN,14,Produto 14,Marca 3,2.87,2,3
2918,2019-10-19,4,Filial 4,5,Cliente 5,AP,5,Produto 5,Marca 1,86.60,2,3
2919,2019-10-19,1,Filial 1,91,Cliente 91,SP,7,Produto 7,Marca 1,21.32,2,4
2920,2019-10-19,3,Filial 3,40,Cliente 40,MT,4,Produto 4,Marca 3,44.85,6,4
2921,2019-10-20,1,Filial 1,55,Cliente 55,ES,7,Produto 7,Marca 1,21.32,2,5
2922,2019-10-20,2,Filial 2,16,Cliente 16,MA,20,Produto 20,Marca 2,64.09,7,2
2923,2019-10-20,4,Filial 4,66,Cliente 66,DF,18,Produto 18,Marca 2,98.95,6,3
2924,2019-10-20,3,Filial 3,84,Cliente 84,BA,11,Produto 11,Marca 1,17.47,3,3
2925,2019-10-20,10,Filial 10,74,Cliente 74,AM,9,Produto 9,Marca 2,41.93,3,2
2926,2019-10-20,6,Filial 6,68,Cliente 68,AL,12,Produto 12,Marca 2,68.11,2,2
2927,2019-10-20,5,Filial 5,54,Cliente 54,RO,6,Produto 6,Marca 1,87.73,3,5
2928,2019-10-20,8,Filial 8,31,Cliente 31,CE,12,Produto 12,Marca 2,68.11,3,3
2929,2019-10-20,9,Filial 9,99,Cliente 99,MG,20,Produto 20,Marca 2,64.09,3,3
2930,2019-10-20,7,Filial 7,87,Cliente 87,RJ,13,Produto 13,Marca 3,18.60,2,2
2931,2019-10-21,10,Filial 10,46,Cliente 46,RR,12,Produto 12,Marca 2,68.11,6,3
2932,2019-10-21,8,Filial 8,19,Cliente 19,MS,13,Produto 13,Marca 3,18.60,6,3
2933,2019-10-21,9,Filial 9,58,Cliente 58,PA,13,Produto 13,Marca 3,18.60,7,5
2934,2019-10-21,4,Filial 4,75,Cliente 75,RS,6,Produto 6,Marca 1,87.73,2,3
2935,2019-10-21,5,Filial 5,78,Cliente 78,PR,14,Produto 14,Marca 3,2.87,2,3
2936,2019-10-21,3,Filial 3,96,Cliente 96,RJ,7,Produto 7,Marca 1,21.32,5,3
2937,2019-10-21,6,Filial 6,82,Cliente 82,SP,15,Produto 15,Marca 1,14.57,4,3
2938,2019-10-21,2,Filial 2,65,Cliente 65,MA,10,Produto 10,Marca 1,33.55,4,4
2939,2019-10-21,7,Filial 7,13,Cliente 13,GO,16,Produto 16,Marca 2,12.40,7,2
2940,2019-10-21,1,Filial 1,50,Cliente 50,GO,13,Produto 13,Marca 3,18.60,4,3
2941,2019-10-22,2,Filial 2,97,Cliente 97,MG,18,Produto 18,Marca 2,98.95,7,2
2942,2019-10-22,4,Filial 4,20,Cliente 20,PB,3,Produto 3,Marca 2,49.45,3,3
2943,2019-10-22,5,Filial 5,88,Cliente 88,PA,2,Produto 2,Marca 3,99.33,4,2
2944,2019-10-22,6,Filial 6,87,Cliente 87,RJ,10,Produto 10,Marca 1,33.55,5,4
2945,2019-10-22,3,Filial 3,24,Cliente 24,PR,11,Produto 11,Marca 1,17.47,6,3
2946,2019-10-22,9,Filial 9,97,Cliente 97,MG,6,Produto 6,Marca 1,87.73,3,5
2947,2019-10-22,1,Filial 1,40,Cliente 40,MT,4,Produto 4,Marca 3,44.85,6,4
2948,2019-10-22,8,Filial 8,31,Cliente 31,CE,2,Produto 2,Marca 3,99.33,2,2
2949,2019-10-22,7,Filial 7,97,Cliente 97,MG,20,Produto 20,Marca 2,64.09,6,3
2950,2019-10-22,10,Filial 10,7,Cliente 7,PA,10,Produto 10,Marca 1,33.55,4,2
2951,2019-10-23,4,Filial 4,56,Cliente 56,GO,10,Produto 10,Marca 1,33.55,2,4
2952,2019-10-23,9,Filial 9,44,Cliente 44,PI,10,Produto 10,Marca 1,33.55,3,3
2953,2019-10-23,7,Filial 7,76,Cliente 76,AC,2,Produto 2,Marca 3,99.33,6,3
2954,2019-10-23,5,Filial 5,19,Cliente 19,MS,12,Produto 12,Marca 2,68.11,4,5
2955,2019-10-23,8,Filial 8,16,Cliente 16,MA,5,Produto 5,Marca 1,86.60,6,5
2956,2019-10-23,2,Filial 2,2,Cliente 2,CE,17,Produto 17,Marca 2,23.67,6,3
2957,2019-10-23,6,Filial 6,4,Cliente 4,CE,10,Produto 10,Marca 1,33.55,4,5
2958,2019-10-23,1,Filial 1,74,Cliente 74,AM,4,Produto 4,Marca 3,44.85,6,4
2959,2019-10-23,3,Filial 3,54,Cliente 54,RO,19,Produto 19,Marca 1,16.28,6,2
2960,2019-10-23,10,Filial 10,16,Cliente 16,MA,3,Produto 3,Marca 2,49.45,2,3
2961,2019-10-24,5,Filial 5,73,Cliente 73,PE,3,Produto 3,Marca 2,49.45,5,2
2962,2019-10-24,9,Filial 9,33,Cliente 33,GO,5,Produto 5,Marca 1,86.60,6,5
2963,2019-10-24,10,Filial 10,31,Cliente 31,CE,19,Produto 19,Marca 1,16.28,2,2
2964,2019-10-24,7,Filial 7,8,Cliente 8,RJ,13,Produto 13,Marca 3,18.60,2,2
2965,2019-10-24,8,Filial 8,33,Cliente 33,GO,16,Produto 16,Marca 2,12.40,6,4
2966,2019-10-24,1,Filial 1,42,Cliente 42,SE,12,Produto 12,Marca 2,68.11,7,2
2967,2019-10-24,6,Filial 6,65,Cliente 65,MA,14,Produto 14,Marca 3,2.87,6,2
2968,2019-10-24,4,Filial 4,57,Cliente 57,SP,19,Produto 19,Marca 1,16.28,3,2
2969,2019-10-24,3,Filial 3,60,Cliente 60,SE,16,Produto 16,Marca 2,12.40,4,3
2970,2019-10-24,2,Filial 2,41,Cliente 41,PA,2,Produto 2,Marca 3,99.33,7,3
2971,2019-10-25,3,Filial 3,88,Cliente 88,PA,4,Produto 4,Marca 3,44.85,4,5
2972,2019-10-25,9,Filial 9,94,Cliente 94,PE,7,Produto 7,Marca 1,21.32,5,2
2973,2019-10-25,7,Filial 7,79,Cliente 79,RN,17,Produto 17,Marca 2,23.67,3,4
2974,2019-10-25,1,Filial 1,24,Cliente 24,PR,2,Produto 2,Marca 3,99.33,7,5
2975,2019-10-25,5,Filial 5,14,Cliente 14,AL,2,Produto 2,Marca 3,99.33,7,4
2976,2019-10-25,2,Filial 2,11,Cliente 11,SC,15,Produto 15,Marca 1,14.57,5,4
2977,2019-10-25,6,Filial 6,95,Cliente 95,GO,18,Produto 18,Marca 2,98.95,6,2
2978,2019-10-25,4,Filial 4,63,Cliente 63,RO,3,Produto 3,Marca 2,49.45,5,4
2979,2019-10-25,8,Filial 8,77,Cliente 77,AM,12,Produto 12,Marca 2,68.11,7,4
2980,2019-10-25,10,Filial 10,23,Cliente 23,CE,11,Produto 11,Marca 1,17.47,2,2
2981,2019-10-26,5,Filial 5,64,Cliente 64,PA,16,Produto 16,Marca 2,12.40,4,4
2982,2019-10-26,9,Filial 9,92,Cliente 92,AL,17,Produto 17,Marca 2,23.67,5,2
2983,2019-10-26,7,Filial 7,36,Cliente 36,SP,3,Produto 3,Marca 2,49.45,6,5
2984,2019-10-26,3,Filial 3,100,Cliente 100,MS,20,Produto 20,Marca 2,64.09,2,2
2985,2019-10-26,6,Filial 6,83,Cliente 83,MT,5,Produto 5,Marca 1,86.60,2,3
2986,2019-10-26,2,Filial 2,39,Cliente 39,AL,7,Produto 7,Marca 1,21.32,6,2
2987,2019-10-26,10,Filial 10,11,Cliente 11,SC,3,Produto 3,Marca 2,49.45,7,3
2988,2019-10-26,4,Filial 4,79,Cliente 79,RN,6,Produto 6,Marca 1,87.73,6,2
2989,2019-10-26,1,Filial 1,74,Cliente 74,AM,11,Produto 11,Marca 1,17.47,7,4
2990,2019-10-26,8,Filial 8,33,Cliente 33,GO,4,Produto 4,Marca 3,44.85,4,2
2991,2019-10-27,6,Filial 6,72,Cliente 72,SE,18,Produto 18,Marca 2,98.95,2,2
2992,2019-10-27,8,Filial 8,71,Cliente 71,RS,15,Produto 15,Marca 1,14.57,4,5
2993,2019-10-27,7,Filial 7,2,Cliente 2,CE,20,Produto 20,Marca 2,64.09,7,5
2994,2019-10-27,4,Filial 4,63,Cliente 63,RO,9,Produto 9,Marca 2,41.93,2,3
2995,2019-10-27,10,Filial 10,93,Cliente 93,RJ,5,Produto 5,Marca 1,86.60,3,2
2996,2019-10-27,1,Filial 1,6,Cliente 6,RN,20,Produto 20,Marca 2,64.09,2,3
2997,2019-10-27,9,Filial 9,40,Cliente 40,MT,6,Produto 6,Marca 1,87.73,2,5
2998,2019-10-27,2,Filial 2,39,Cliente 39,AL,11,Produto 11,Marca 1,17.47,7,2
2999,2019-10-27,5,Filial 5,74,Cliente 74,AM,7,Produto 7,Marca 1,21.32,7,3
3000,2019-10-27,3,Filial 3,35,Cliente 35,PB,13,Produto 13,Marca 3,18.60,5,4
3001,2019-10-28,6,Filial 6,95,Cliente 95,GO,12,Produto 12,Marca 2,68.11,3,5
3002,2019-10-28,4,Filial 4,6,Cliente 6,RN,19,Produto 19,Marca 1,16.28,5,4
3003,2019-10-28,1,Filial 1,98,Cliente 98,TO,14,Produto 14,Marca 3,2.87,2,4
3004,2019-10-28,7,Filial 7,100,Cliente 100,MS,10,Produto 10,Marca 1,33.55,5,3
3005,2019-10-28,2,Filial 2,79,Cliente 79,RN,11,Produto 11,Marca 1,17.47,6,2
3006,2019-10-28,10,Filial 10,78,Cliente 78,PR,3,Produto 3,Marca 2,49.45,2,2
3007,2019-10-28,8,Filial 8,44,Cliente 44,PI,8,Produto 8,Marca 2,44.87,7,5
3008,2019-10-28,9,Filial 9,72,Cliente 72,SE,6,Produto 6,Marca 1,87.73,6,4
3009,2019-10-28,3,Filial 3,75,Cliente 75,RS,11,Produto 11,Marca 1,17.47,5,5
3010,2019-10-28,5,Filial 5,55,Cliente 55,ES,15,Produto 15,Marca 1,14.57,6,3
3011,2019-10-29,4,Filial 4,59,Cliente 59,PB,19,Produto 19,Marca 1,16.28,2,2
3012,2019-10-29,7,Filial 7,60,Cliente 60,SE,15,Produto 15,Marca 1,14.57,4,5
3013,2019-10-29,10,Filial 10,31,Cliente 31,CE,3,Produto 3,Marca 2,49.45,7,3
3014,2019-10-29,2,Filial 2,26,Cliente 26,RO,11,Produto 11,Marca 1,17.47,3,5
3015,2019-10-29,3,Filial 3,91,Cliente 91,SP,19,Produto 19,Marca 1,16.28,5,3
3016,2019-10-29,5,Filial 5,96,Cliente 96,RJ,14,Produto 14,Marca 3,2.87,6,4
3017,2019-10-29,9,Filial 9,3,Cliente 3,TO,8,Produto 8,Marca 2,44.87,5,3
3018,2019-10-29,6,Filial 6,78,Cliente 78,PR,3,Produto 3,Marca 2,49.45,7,4
3019,2019-10-29,1,Filial 1,45,Cliente 45,PB,3,Produto 3,Marca 2,49.45,3,4
3020,2019-10-29,8,Filial 8,5,Cliente 5,AP,7,Produto 7,Marca 1,21.32,6,2
3021,2019-10-30,9,Filial 9,48,Cliente 48,MS,18,Produto 18,Marca 2,98.95,6,4
3022,2019-10-30,8,Filial 8,1,Cliente 1,MA,18,Produto 18,Marca 2,98.95,2,5
3023,2019-10-30,4,Filial 4,73,Cliente 73,PE,11,Produto 11,Marca 1,17.47,7,3
3024,2019-10-30,2,Filial 2,47,Cliente 47,RN,14,Produto 14,Marca 3,2.87,4,4
3025,2019-10-30,1,Filial 1,38,Cliente 38,RJ,11,Produto 11,Marca 1,17.47,3,4
3026,2019-10-30,7,Filial 7,39,Cliente 39,AL,12,Produto 12,Marca 2,68.11,7,4
3027,2019-10-30,6,Filial 6,1,Cliente 1,MA,13,Produto 13,Marca 3,18.60,2,2
3028,2019-10-30,3,Filial 3,9,Cliente 9,RN,8,Produto 8,Marca 2,44.87,4,3
3029,2019-10-30,5,Filial 5,5,Cliente 5,AP,8,Produto 8,Marca 2,44.87,2,4
3030,2019-10-30,10,Filial 10,99,Cliente 99,MG,12,Produto 12,Marca 2,68.11,2,4
3031,2019-10-31,5,Filial 5,67,Cliente 67,ES,10,Produto 10,Marca 1,33.55,2,2
3032,2019-10-31,1,Filial 1,61,Cliente 61,SE,13,Produto 13,Marca 3,18.60,6,4
3033,2019-10-31,7,Filial 7,90,Cliente 90,PR,12,Produto 12,Marca 2,68.11,7,2
3034,2019-10-31,10,Filial 10,43,Cliente 43,MS,2,Produto 2,Marca 3,99.33,4,4
3035,2019-10-31,2,Filial 2,72,Cliente 72,SE,14,Produto 14,Marca 3,2.87,4,5
3036,2019-10-31,8,Filial 8,76,Cliente 76,AC,9,Produto 9,Marca 2,41.93,7,3
3037,2019-10-31,3,Filial 3,94,Cliente 94,PE,11,Produto 11,Marca 1,17.47,3,3
3038,2019-10-31,4,Filial 4,67,Cliente 67,ES,11,Produto 11,Marca 1,17.47,7,4
3039,2019-10-31,6,Filial 6,16,Cliente 16,MA,14,Produto 14,Marca 3,2.87,2,3
3040,2019-10-31,9,Filial 9,17,Cliente 17,PA,10,Produto 10,Marca 1,33.55,4,5
3041,2019-11-01,8,Filial 8,85,Cliente 85,MA,15,Produto 15,Marca 1,14.57,7,3
3042,2019-11-01,4,Filial 4,24,Cliente 24,PR,14,Produto 14,Marca 3,2.87,4,2
3043,2019-11-01,7,Filial 7,35,Cliente 35,PB,4,Produto 4,Marca 3,44.85,2,3
3044,2019-11-01,9,Filial 9,50,Cliente 50,GO,5,Produto 5,Marca 1,86.60,6,2
3045,2019-11-01,3,Filial 3,98,Cliente 98,TO,9,Produto 9,Marca 2,41.93,6,5
3046,2019-11-01,5,Filial 5,3,Cliente 3,TO,18,Produto 18,Marca 2,98.95,5,4
3047,2019-11-01,10,Filial 10,23,Cliente 23,CE,6,Produto 6,Marca 1,87.73,4,2
3048,2019-11-01,2,Filial 2,75,Cliente 75,RS,14,Produto 14,Marca 3,2.87,3,3
3049,2019-11-01,1,Filial 1,4,Cliente 4,CE,7,Produto 7,Marca 1,21.32,6,2
3050,2019-11-01,6,Filial 6,96,Cliente 96,RJ,15,Produto 15,Marca 1,14.57,2,5
3051,2019-11-02,1,Filial 1,29,Cliente 29,MT,16,Produto 16,Marca 2,12.40,4,4
3052,2019-11-02,9,Filial 9,24,Cliente 24,PR,12,Produto 12,Marca 2,68.11,7,3
3053,2019-11-02,3,Filial 3,46,Cliente 46,RR,9,Produto 9,Marca 2,41.93,2,5
3054,2019-11-02,6,Filial 6,83,Cliente 83,MT,13,Produto 13,Marca 3,18.60,4,4
3055,2019-11-02,8,Filial 8,8,Cliente 8,RJ,9,Produto 9,Marca 2,41.93,2,3
3056,2019-11-02,2,Filial 2,87,Cliente 87,RJ,6,Produto 6,Marca 1,87.73,5,3
3057,2019-11-02,5,Filial 5,28,Cliente 28,PB,10,Produto 10,Marca 1,33.55,4,2
3058,2019-11-02,7,Filial 7,2,Cliente 2,CE,2,Produto 2,Marca 3,99.33,4,3
3059,2019-11-02,10,Filial 10,1,Cliente 1,MA,14,Produto 14,Marca 3,2.87,4,4
3060,2019-11-02,4,Filial 4,2,Cliente 2,CE,2,Produto 2,Marca 3,99.33,4,4
3061,2019-11-03,10,Filial 10,51,Cliente 51,MG,3,Produto 3,Marca 2,49.45,7,4
3062,2019-11-03,7,Filial 7,80,Cliente 80,RR,2,Produto 2,Marca 3,99.33,3,4
3063,2019-11-03,4,Filial 4,75,Cliente 75,RS,16,Produto 16,Marca 2,12.40,6,5
3064,2019-11-03,9,Filial 9,44,Cliente 44,PI,17,Produto 17,Marca 2,23.67,3,3
3065,2019-11-03,5,Filial 5,77,Cliente 77,AM,8,Produto 8,Marca 2,44.87,2,3
3066,2019-11-03,2,Filial 2,59,Cliente 59,PB,11,Produto 11,Marca 1,17.47,5,2
3067,2019-11-03,1,Filial 1,30,Cliente 30,BA,8,Produto 8,Marca 2,44.87,7,2
3068,2019-11-03,8,Filial 8,74,Cliente 74,AM,10,Produto 10,Marca 1,33.55,2,5
3069,2019-11-03,3,Filial 3,52,Cliente 52,PI,2,Produto 2,Marca 3,99.33,5,4
3070,2019-11-03,6,Filial 6,72,Cliente 72,SE,16,Produto 16,Marca 2,12.40,7,4
3071,2019-11-04,8,Filial 8,16,Cliente 16,MA,20,Produto 20,Marca 2,64.09,2,2
3072,2019-11-04,3,Filial 3,57,Cliente 57,SP,19,Produto 19,Marca 1,16.28,3,4
3073,2019-11-04,7,Filial 7,10,Cliente 10,SP,16,Produto 16,Marca 2,12.40,5,5
3074,2019-11-04,5,Filial 5,55,Cliente 55,ES,19,Produto 19,Marca 1,16.28,2,2
3075,2019-11-04,4,Filial 4,20,Cliente 20,PB,16,Produto 16,Marca 2,12.40,6,4
3076,2019-11-04,10,Filial 10,62,Cliente 62,RJ,13,Produto 13,Marca 3,18.60,2,3
3077,2019-11-04,1,Filial 1,30,Cliente 30,BA,18,Produto 18,Marca 2,98.95,3,3
3078,2019-11-04,9,Filial 9,28,Cliente 28,PB,10,Produto 10,Marca 1,33.55,5,2
3079,2019-11-04,6,Filial 6,8,Cliente 8,RJ,12,Produto 12,Marca 2,68.11,4,2
3080,2019-11-04,2,Filial 2,89,Cliente 89,RR,10,Produto 10,Marca 1,33.55,4,2
3081,2019-11-05,7,Filial 7,90,Cliente 90,PR,18,Produto 18,Marca 2,98.95,2,5
3082,2019-11-05,3,Filial 3,93,Cliente 93,RJ,5,Produto 5,Marca 1,86.60,5,3
3083,2019-11-05,1,Filial 1,76,Cliente 76,AC,4,Produto 4,Marca 3,44.85,2,5
3084,2019-11-05,6,Filial 6,97,Cliente 97,MG,15,Produto 15,Marca 1,14.57,5,3
3085,2019-11-05,2,Filial 2,70,Cliente 70,MA,17,Produto 17,Marca 2,23.67,4,2
